TRADE_DATE,FLOW_CLOSE,FLOW_PCT_CHG,MAIN_NET_INFLOW,MAIN_NET_INFLOW_RATIO,XL_NET_INFLOW,XL_NET_INFLOW_RATIO,L_NET_INFLOW,L_NET_INFLOW_RATIO,M_NET_INFLOW,M_NET_INFLOW_RATIO,S_NET_INFLOW,S_NET_INFLOW_RATIO,TS_CODE
2026-04-01,53.32,3.61,1472219888.0,12.99,991705264.0,8.75,480514624.0,4.24,-680348208.0,-6.0,-791871680.0,-6.98,601138.SH
2026-04-02,52.0,-2.48,-1057154448.0,-12.75,-979251840.0,-11.81,-77902608.0,-0.94,485365024.0,5.85,571789424.0,6.89,601138.SH
2026-04-03,52.18,0.35,196347472.0,3.58,98990096.0,1.8,97357376.0,1.77,-249451584.0,-4.55,53104080.0,0.97,601138.SH
2026-04-07,52.58,0.77,20371040.0,0.32,68501360.0,1.07,-48130320.0,-0.75,-21188576.0,-0.33,817536.0,0.01,601138.SH
2026-04-08,56.61,7.66,2410148512.0,17.37,2372835376.0,17.1,37313136.0,0.27,-1168684048.0,-8.42,-1241464352.0,-8.95,601138.SH
2026-04-09,55.02,-2.81,-922603552.0,-10.75,-1191554288.0,-13.88,268950736.0,3.13,473370496.0,5.52,449233056.0,5.23,601138.SH
2026-04-10,56.52,2.73,722956016.0,6.7,558295168.0,5.17,164660848.0,1.53,-135165648.0,-1.25,-587790368.0,-5.45,601138.SH
2026-04-13,55.7,-1.45,-929189136.0,-12.25,-846316144.0,-11.16,-82872992.0,-1.09,412239536.0,5.43,516949616.0,6.82,601138.SH
2026-04-14,58.92,5.78,2121539264.0,14.28,2015685216.0,13.57,105854048.0,0.71,-980837712.0,-6.6,-1140701680.0,-7.68,601138.SH
2026-04-15,57.82,-1.87,-1058286512.0,-9.14,-1162036176.0,-10.04,103749664.0,0.9,264322144.0,2.28,793964368.0,6.86,601138.SH
2026-04-16,59.32,2.59,1105858752.0,10.38,984981264.0,9.25,120877488.0,1.13,-462969312.0,-4.35,-642889440.0,-6.04,601138.SH
2026-04-17,60.97,2.78,1032792144.0,9.06,828396544.0,7.27,204395600.0,1.79,-560883776.0,-4.92,-471908368.0,-4.14,601138.SH
2026-04-20,61.51,0.89,-390955520.0,-2.96,-417455744.0,-3.16,26500224.0,0.2,-99634496.0,-0.76,490590016.0,3.72,601138.SH
2026-04-21,61.41,-0.16,-629507856.0,-7.44,-509427616.0,-6.02,-120080240.0,-1.42,50781056.0,0.6,578726816.0,6.84,601138.SH
2026-04-22,66.89,8.92,3425353904.0,16.79,3357040816.0,16.46,68313088.0,0.33,-1602374400.0,-7.86,-1822979216.0,-8.94,601138.SH
2026-04-23,67.92,1.54,321080576.0,1.71,13602816.0,0.07,307477760.0,1.64,-393357312.0,-2.09,72276784.0,0.38,601138.SH
